ファイル名,ページ,番号,日本語,翻訳
ミャンマー語_pdfplumber_抽出_最終版.csv,12,25.0,災害,သေ်းအန္ရတ ာယ်
ミャンマー語_pdfplumber_抽出_最終版.csv,12,26.0,地震,ငလ င်
ミャンマー語_pdfplumber_抽出_最終版.csv,12,27.0,もぐる,သအာကသ် ဝှို ဲ့ ငသ် ည်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,1.0,火気厳禁,မ ်းသတခှိပြုံ
ミャンマー語_pdfplumber_抽出_最終版.csv,22,3.0,火気厳禁,မ ်းသတခှိပြုံ
ミャンマー語_pdfplumber_抽出_最終版.csv,13,2.0,開放厳禁,ဖွငမ်ဲ့ ထာ်းရ
ミャンマー語_pdfplumber_抽出_最終版.csv,13,3.0,標識,အမ တအ် သာ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,13,4.0,気をつける,ဂရုစှိုကသ် ည်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,5.0,持ち込む,ယလူ ာသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,6.0,防ぐ,ကာကယွ သ် ည။်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,7.0,火,မ ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,13,8.0,煙,မ ်း ်းှို
ミャンマー語_pdfplumber_抽出_最終版.csv,13,9.0,消火,မ ်းပငမ ််းသတခ် င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,10.0,消火器,မ ်းသတေ် ်းူ
ミャンマー語_pdfplumber_抽出_最終版.csv,23,11.0,消火器,မ ်းသတေ် ်းူ
ミャンマー語_pdfplumber_抽出_最終版.csv,13,11.0,非常ベル,အသရ်းသပေါ်သတသှိ ပ်းစက်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,12.0,火災報知機,မ ်းအ ကသ် ပ်းစက်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,13.0,逃げる,ထကွ သ် ခပ်းသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,14.0,現場,လပု ်ငန်း် ငွ ်
ミャンマー語_pdfplumber_抽出_最終版.csv,13,15.0,作業,အလပု ်
ミャンマー語_pdfplumber_抽出_最終版.csv,14,16.0,ミーティング,အစည်း် အသဝ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,14,17.0,研修（する）,သငတ် န်း် (ခပြုံလပု ်သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,14,18.0,実習（する）,လကသ် တွဲ့သွ ငတ် န်း် (ခပြုံလပု ် သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,14,19.0,あいさつ,န္တှု ဆ် ကခ် င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,14,20.0,確認（する）,သသ ာစစ်(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,19,16.0,確認（する）,အတညခ်ပြုံစစ်သဆ်းသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,14,21.0,報告（する）,အသကကာင်း် ကကာ်း(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,14,22.0,連絡（する）,အသကကာင်း် ကကာ်း(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,14,23.0,相談（する）,သဆ်းွ သန္်းွ (သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,14,24.0,渡す,သပ်းသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,14,25.0,申請書,သလျှာကလ် ာ
ミャンマー語_pdfplumber_抽出_最終版.csv,14,26.0,寝坊（する）,အပှိ ်ရာထသနာကက် (သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,15,1.0,技能,နည်း် ပညာ
ミャンマー語_pdfplumber_抽出_最終版.csv,15,2.0,技能検定試験,နည်း် ပညာအဆင ်ဲ့ သတမ် တစ် ာသမ်းပ ွ
ミャンマー語_pdfplumber_抽出_最終版.csv,15,3.0,受検（する）,စာသမ်းပ ွသခဖ(သည)်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,4.0,資格,အရညအ် င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,5.0,手当,စ ာ်း ငွ ်ဲ့
ミャンマー語_pdfplumber_抽出_最終版.csv,15,6.0,社員,ကမု ပဏဝ နထ် မ််း
ミャンマー語_pdfplumber_抽出_最終版.csv,15,7.0,部長,ဌာနမ ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,15,8.0,課長,ဌာန မွ ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,15,9.0,更衣室,အဝတလ် န်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,10.0,台車,လကတ် နွ ်း် လည ်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,11.0,床,ကကမ််းခပင်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,12.0,出口,ထကွ သ် ပါက်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,13.0,電気,လျှပ်စစ်/မ ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,15,14.0,警報音,သတသှိ ပ်း သ ါင်း် သလာင်း် သ
ミャンマー語_pdfplumber_抽出_最終版.csv,15,15.0,コンセント,ပလတသ် ါင်း် ပလတသ် ပါက်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,16.0,作業場,အလပု ်ရု
ミャンマー語_pdfplumber_抽出_最終版.csv,15,17.0,作業台,အလပု ်စာ်းပ ွ
ミャンマー語_pdfplumber_抽出_最終版.csv,15,18.0,工事現場,သဆာကလ် ပု ်သရ်း လပု ်ငန်း် ငွ ်
ミャンマー語_pdfplumber_抽出_最終版.csv,15,19.0,職長,လပု ်ငန်း် ငွ လ် မ််းည နက်က်း ကကပ်သူ
ミャンマー語_pdfplumber_抽出_最終版.csv,29,25.0,職長,လပု ်ငန်း် ငွ လ် မ််းည န ် ကက်း ကကပ်သူ
ミャンマー語_pdfplumber_抽出_最終版.csv,15,20.0,作業責任者,လပု ်ငန်း် တာဝန ်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,1.0,禁止,တာ်းခမစ်ခ င်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,2.0,表示板,သငပ် ုန်း် ၊ဆငှို ်း် ေတု ်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,3.0,禁止事項,တာ်းခမစ် က်
ミャンマー語_pdfplumber_抽出_最終版.csv,16,4.0,避難訓練,သေ်းအန္ရတ ာယမ် သရ ာငတ် မှိ ််းသရ်း သလကဲ့ ငမ်ဲ့ ှု
ミャンマー語_pdfplumber_抽出_最終版.csv,16,5.0,感電（する）,ဓာတလ် ကှို ်(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,16,6.0,防止（する）,တာ်းဆ်း (သည်)
