CSV行,日本語,Page,番号,マッチ
321,スラブ天端,30,7.0,✓
322,高さ（タッパ）,30,8.0,✓
323,建込み,30,9.0,✓
324,通り,30,10.0,✓
325,蹴上げ,31,11.0,✓
326,蹴込み,31,12.0,✓
327,工具の手入れ,31,13.0,✓
328,下げ振り,31,14.0,✓
329,地墨,31,15.0,✓
330,捨てコンクリート,31,16.0,✓
331,はね出し,31,17.0,✓
332,はらみ,31,18.0,✓
333,前面,31,19.0,✓
334,養生,31,20.0,✓
335,レベル,32,21.0,✓
336,割付,32,22.0,✓
337,埋め込み金物,32,23.0,✓
338,解体する（バラス）,32,24.0,✓
339,かぶり寸法,32,25.0,✓
340,異形棒鋼,33,1.0,✓
341,結束線,33,2.0,✓
342,結束工具,33,3.0,✓
343,鉄筋切断機,33,4.0,✓
344,鉄筋曲げ加工機,33,5.0,✓
345,アンカー,33,8.0,✓
346,加工場,33,9.0,✓
347,スペーサ―,33,10.0,✓
348,ドーナツ,34,11.0,✓
349,加工配筋図,34,12.0,✓
350,配筋詳細図,34,13.0,✓
351,開口補強筋,34,14.0,✓
352,幅止め筋,34,15.0,✓
353,差筋,34,16.0,✓
354,柱主筋,34,17.0,✓
355,柱配筋,34,18.0,✓
356,スラブ筋,34,19.0,✓
357,ベース筋,34,20.0,✓
358,帯筋（フープ）,35,21.0,✓
359,下端筋,35,22.0,✓
360,上端筋,35,23.0,✓
361,主筋,35,24.0,✓
362,あばら筋,35,25.0,✓
363,はかま筋,36,1.0,✓
364,縦筋,36,2.0,✓
365,下筋,36,3.0,✓
366,横筋,36,4.0,✓
367,腹筋,36,5.0,✓
368,配力筋,36,6.0,✓
369,上筋,36,7.0,✓
370,スパイラル筋,36,8.0,✓
371,鉄筋径,36,9.0,✓
372,かぶり厚さ,36,10.0,✓
373,角度,37,11.0,✓
374,シングル,37,12.0,✓
375,ダブル,37,13.0,✓
376,千鳥結束,37,14.0,✓
377,切断寸法,37,15.0,✓
378,加工寸法,37,16.0,✓
379,重ね継手,37,17.0,✓
380,圧接継手,37,18.0,✓
381,開口部,37,19.0,✓
382,溶接金網,37,20.0,✓
383,搬出,38,21.0,✓
384,搬入,38,22.0,✓
385,基礎,38,23.0,✓
386,機械式継手,38,24.0,✓
387,配筋検査,38,25.0,✓
388,トラクタ,39,1.0,✓
389,ブルドーザ,39,2.0,✓
390,トラクタショベル,39,3.0,✓
391,ホイルローダ,39,4.0,✓
392,ダンプトラック,39,5.0,✓
393,油圧ショベル,39,6.0,✓
394,バックホウ,39,7.0,✓
395,ローディングショベル,39,8.0,✓
396,ローラ,39,9.0,✓
397,バケット,39,10.0,✓
398,ブーム,40,11.0,✓
399,アーム,40,12.0,✓
400,ブレード（排土板）,40,13.0,✓
401,タイヤ,40,14.0,✓
402,クローラ,40,15.0,✓
403,キー（鍵）,40,16.0,✓
404,作業装置 （アタッチメント）,40,17.0,✓
405,エンジン,40,18.0,✓
406,ディーゼルエンジン,40,19.0,✓
407,エンジンオイル,40,20.0,✓
408,オルタネータ （充電発電機）,41,21.0,✓
409,バッテリ,41,22.0,✓
410,燃料,41,23.0,✓
411,軽油,41,24.0,✓
412,ブレーキ,41,25.0,✓
413,油圧シリンダ,42,1.0,✓
414,油圧モータ,42,2.0,✓
415,油圧ポンプ,42,3.0,✓
416,水漏れ,42,4.0,✓
417,油漏れ,42,5.0,✓
418,冷却水,42,6.0,✓
419,ブレーキ液,42,7.0,✓
420,燃料タンク,42,8.0,✓
421,ファンベルト,42,9.0,✓
422,空気圧,42,10.0,✓
423,クラッチ,42,11.0,✓
424,急発進,42,12.0,✓
425,急ブレーキ,42,13.0,✓
426,アイドリング,43,14.0,✓
427,走行,43,15.0,✓
428,旋回,43,16.0,✓
429,安全ロック,43,17.0,✓
430,安全支柱,43,18.0,✓
431,補給（する）,43,19.0,✓
432,駐車（する）,43,20.0,✓
433,歩行者,43,21.0,✓
434,車両,43,22.0,✓
435,死角,43,23.0,✓
436,斜面,43,24.0,✓
437,転圧（する）,43,25.0,✓
438,接触（する）,44,1.0,✓
439,作動（する）,44,2.0,✓
440,整備（する）,44,3.0,✓
441,点検（する）,44,4.0,✓
442,動かす,44,5.0,✓
443,運転（する）,44,6.0,✓
444,測る,44,7.0,✓
445,操作（する）,44,8.0,✓
446,停止（する）,45,9.0,✓
447,切る,45,10.0,✓
448,回す,45,11.0,✓
449,押す,45,12.0,✓
450,集める,45,13.0,✓
451,触る,45,14.0,✓
452,縛る,45,15.0,✓
453,揃える,45,16.0,✓
454,結ぶ,45,17.0,✓
455,しゃがむ,45,18.0,✓
456,調整（する）,45,19.0,✓
457,閉じる,45,20.0,✓
458,取り出す,46,1.0,✓
459,戻す,46,2.0,✓
460,仕上げる,46,3.0,✓
461,折れる,46,4.0,✓
462,欠ける,46,5.0,✓
463,近づく,46,6.0,✓
464,電源を入れる,46,7.0,✓
465,電源を落とす,46,8.0,✓
466,スイッチを切る,46,9.0,✓
467,固定（する）,46,10.0,✓
468,ゆるめる,46,11.0,✓
469,伸ばす,46,12.0,✓
470,外す,46,13.0,✓
471,曲げる,46,14.0,✓
472,出す,46,15.0,✓
473,乾かす,46,16.0,✓
474,数える,46,17.0,✓
475,運ぶ,46,18.0,✓
476,積む,46,19.0,✓
477,下ろす,46,20.0,✓
478,離れる,46,21.0,✓
479,位置,47,1.0,✓
480,寸法,47,2.0,✓
481,測定（する）,47,3.0,✓
482,計測（する）,47,4.0,✓
483,計測器,47,5.0,✓
484,温度,47,6.0,✓
485,高さ,47,7.0,✓
486,長さ,47,8.0,✓
487,重さ,47,9.0,✓
488,厚さ,47,10.0,✓
489,硬さ,47,11.0,✓
490,深さ,47,12.0,✓
491,表面,47,13.0,✓
492,すきま,47,14.0,✓
493,中心,47,15.0,✓
494,値,48,16.0,✓
