言語,Page,番号,単語,翻訳
中国語,36,22,搬入,搬入
中国語,36,23,基礎,基础
中国語,36,24,機械式継手,机械式接头
中国語,36,25,配筋検査,配筋检查
中国語,37,1,トラクタ,拖拉机、牵引车
中国語,37,2,ブルドーザ,推土机
中国語,37,3,トラクタショベル,挖掘机
中国語,37,4,ホイルローダ,轮式装载机
中国語,37,5,ダンプトラック,自动装卸卡车
中国語,37,6,油圧ショベル,液压挖掘机
中国語,37,7,バックホウ,反向铲
中国語,37,8,ローディングショベル,装载机铲斗
中国語,37,9,ローラ,压路机
中国語,37,10,バケット,铲斗
中国語,38,11,ブーム,吊杆
中国語,38,12,アーム,起重臂
中国語,38,13,ブレード（排土板）,推土机刮板
中国語,38,14,タイヤ,轮胎
中国語,38,15,クローラ,履带
中国語,38,16,キー（鍵）,钥匙
中国語,38,17,作業装置 （アタッチメント）,作业装置（附属装置）
中国語,38,18,エンジン,发动机
中国語,38,19,ディーゼルエンジン,柴油发动机
中国語,38,20,エンジンオイル,机油
中国語,39,21,オルタネータ （充電発電機）,交流发电机
中国語,39,22,バッテリ,蓄电池
中国語,39,23,燃料,燃料
中国語,39,24,軽油,汽油、轻油
中国語,39,25,ブレーキ,刹车
中国語,40,1,油圧シリンダ,液压缸
中国語,40,2,油圧モータ,液压马达
中国語,40,3,油圧ポンプ,液压泵
中国語,40,4,水漏れ,漏水
中国語,40,5,油漏れ,漏油
中国語,40,6,冷却水,冷却水
中国語,40,7,ブレーキ液,制动液、刹车油
中国語,40,8,燃料タンク,燃料罐
中国語,40,9,ファンベルト,风扇皮带
中国語,40,10,空気圧,气压
中国語,40,11,クラッチ,离合器
中国語,40,12,急発進,猛启动
中国語,40,13,急ブレーキ,急刹车
中国語,41,14,アイドリング,怠速运转
中国語,41,15,走行,行驶
中国語,41,16,旋回,旋转、回转
中国語,41,17,安全ロック,安全锁止
中国語,41,18,安全支柱,安全支柱
中国語,41,19,補給（する）,补充、补给
中国語,41,20,駐車（する）,停车
中国語,41,21,歩行者,行人
中国語,41,22,車両,车辆
中国語,41,23,死角,死角
中国語,41,24,斜面,坡
中国語,41,25,転圧（する）,碾压
中国語,42,1,接触（する）,碰撞
中国語,42,2,作動（する）,启动、运作
中国語,42,3,整備（する）,维护
中国語,42,4,点検（する）,检查
中国語,42,5,動かす,运作、操作
中国語,42,6,運転（する）,驾驶、操作
中国語,42,7,測る,测量
中国語,42,8,操作（する）,操作
中国語,42,9,停止（する）,停止
中国語,42,10,切る,关闭、切割
中国語,42,11,回す,转
中国語,42,12,押す,按
中国語,42,13,集める,收集
中国語,42,14,触る,触碰
中国語,42,15,縛る,束缚、捆绑
中国語,42,16,揃える,对齐、使……整齐
中国語,42,17,結ぶ,捆绑、连接、系
中国語,42,18,しゃがむ,蹲
中国語,42,19,調整（する）,调整
中国語,42,20,閉じる,关、关闭
中国語,43,1,取り出す,取出
中国語,43,2,戻す,放回
中国語,43,3,仕上げる,做完
中国語,43,4,折れる,折断
中国語,43,5,欠ける,欠缺、有缺口
中国語,43,6,近づく,靠近
中国語,43,7,電源を入れる,打开电源
中国語,43,8,電源を落とす,关闭电源
中国語,43,9,スイッチを切る,关闭开关
中国語,43,10,固定（する）,固定
中国語,43,11,ゆるめる,拧松
中国語,43,12,伸ばす,延展
中国語,43,13,外す,取下
中国語,43,14,曲げる,弯曲
中国語,43,15,出す,取出、拿出
中国語,43,16,乾かす,干燥
中国語,43,17,数える,数
中国語,43,18,運ぶ,搬、搬运
中国語,43,19,積む,装货
中国語,43,20,下ろす,卸货
中国語,43,21,離れる,离开
中国語,44,1,位置,位置
中国語,44,2,寸法,尺寸
中国語,44,3,測定（する）,测量
中国語,44,4,計測（する）,计测
中国語,44,5,計測器,计测器
中国語,44,6,温度,温度
中国語,44,7,高さ,高度
中国語,44,8,長さ,长度
中国語,44,9,重さ,重量
中国語,44,10,厚さ,厚度
中国語,44,11,硬さ,硬度
中国語,44,12,深さ,深度
中国語,44,13,表面,表面
中国語,44,14,すきま,间隙
中国語,44,15,中心,中心
中国語,45,16,値,值
