ファイル名,ページ,番号,日本語,翻訳
ベトナム語_pdfplumber_抽出_最終版.csv,14,17.0,熱中症,"Sốc nhiệt, say nắng"
ベトナム語_pdfplumber_抽出_最終版.csv,14,18.0,吐き気,"Buồn nôn, buồn ói"
ベトナム語_pdfplumber_抽出_最終版.csv,14,20.0,足がつる,Chân bị chuột rút
ベトナム語_pdfplumber_抽出_最終版.csv,14,21.0,気分が悪い,"Không khỏe, khó ở"
ベトナム語_pdfplumber_抽出_最終版.csv,14,22.0,寝不足,Thiếu ngủ
ベトナム語_pdfplumber_抽出_最終版.csv,14,23.0,安全ネット,Lưới an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,14,24.0,安全点検,Kiểm tra an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,15,1.0,KY活動（危険予知活動）,Hoạt động KY (Hoạt động dự báo nguy hiểm)
ベトナム語_pdfplumber_抽出_最終版.csv,15,2.0,危険,Nguy hiểm
ベトナム語_pdfplumber_抽出_最終版.csv,15,3.0,ぶつかる,"Va, đụng phải"
ベトナム語_pdfplumber_抽出_最終版.csv,15,4.0,当たる,"Đụng, trúng"
ベトナム語_pdfplumber_抽出_最終版.csv,15,5.0,下敷きになる,Bị đè/cán lên
ベトナム語_pdfplumber_抽出_最終版.csv,15,6.0,打つ,"Đập, nện"
ベトナム語_pdfplumber_抽出_最終版.csv,15,7.0,バランスを崩す,Mất thăng bằng
ベトナム語_pdfplumber_抽出_最終版.csv,15,8.0,倒れる,"Đổ, sập, ngã nằm xuống"
ベトナム語_pdfplumber_抽出_最終版.csv,15,10.0,指差呼称,Chỉ tay gọi tên
ベトナム語_pdfplumber_抽出_最終版.csv,15,11.0,ヒヤリハット,Sự cố (tiềm ẩn nguy cơ nhưng chưa gây ra thiệt hại).
ベトナム語_pdfplumber_抽出_最終版.csv,15,12.0,原因,Nguyên nhân
ベトナム語_pdfplumber_抽出_最終版.csv,15,13.0,対策,"Giải pháp, biện pháp"
ベトナム語_pdfplumber_抽出_最終版.csv,17,1.0,作業着,Trang phục lao động
ベトナム語_pdfplumber_抽出_最終版.csv,17,2.0,作業服,Trang phục lao động
ベトナム語_pdfplumber_抽出_最終版.csv,17,3.0,作業靴,Giày lao động
ベトナム語_pdfplumber_抽出_最終版.csv,17,4.0,手袋,Găng tay
ベトナム語_pdfplumber_抽出_最終版.csv,17,5.0,帽子,Mũ
ベトナム語_pdfplumber_抽出_最終版.csv,17,6.0,保護帽（ヘルメット）,Mũ bảo hộ
ベトナム語_pdfplumber_抽出_最終版.csv,33,7.0,保護帽（ヘルメット）,Mũ bảo hộ
ベトナム語_pdfplumber_抽出_最終版.csv,17,7.0,保護具,Dụng cụ bảo hộ
ベトナム語_pdfplumber_抽出_最終版.csv,17,8.0,あごひも,Quai mũ
ベトナム語_pdfplumber_抽出_最終版.csv,17,9.0,ボタン,"Nút, khuy"
ベトナム語_pdfplumber_抽出_最終版.csv,17,10.0,ポケット,Túi
ベトナム語_pdfplumber_抽出_最終版.csv,17,11.0,保護メガネ,Kính bảo hộ
ベトナム語_pdfplumber_抽出_最終版.csv,17,12.0,マスク,Khẩu trang
ベトナム語_pdfplumber_抽出_最終版.csv,17,13.0,耳栓,Nút tai
ベトナム語_pdfplumber_抽出_最終版.csv,17,14.0,安全靴,Giày bảo hộ
ベトナム語_pdfplumber_抽出_最終版.csv,17,15.0,墜落制止用器具（安全 帯）,Dây đai an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,18,16.0,業務,Nghiệp vụ
ベトナム語_pdfplumber_抽出_最終版.csv,18,17.0,時間厳守,Tuân thủ giờ giấc
ベトナム語_pdfplumber_抽出_最終版.csv,18,18.0,予定,Dự định
ベトナム語_pdfplumber_抽出_最終版.csv,18,19.0,日付,Ngày tháng
ベトナム語_pdfplumber_抽出_最終版.csv,18,,準備（する）,(động từ) Chuẩn bị
ベトナム語_pdfplumber_抽出_最終版.csv,18,21.0,会議,Cuộc họp
ベトナム語_pdfplumber_抽出_最終版.csv,18,22.0,朝礼,Họp đầu giờ sáng
ベトナム語_pdfplumber_抽出_最終版.csv,18,23.0,報告書,Bản báo cáo
ベトナム語_pdfplumber_抽出_最終版.csv,18,24.0,マニュアル,Tài liệu hướng dẫn
ベトナム語_pdfplumber_抽出_最終版.csv,18,25.0,作業手順書,Bản trình tự thao tác
ベトナム語_pdfplumber_抽出_最終版.csv,18,26.0,調子,"Tình trạng, tình hình"
ベトナム語_pdfplumber_抽出_最終版.csv,19,1.0,立入禁止,Cấm vào
ベトナム語_pdfplumber_抽出_最終版.csv,19,2.0,禁煙,Cấm hút thuốc
ベトナム語_pdfplumber_抽出_最終版.csv,19,4.0,駐車禁止,Cấm đỗ xe
ベトナム語_pdfplumber_抽出_最終版.csv,19,5.0,足もと注意,Chú ý dưới chân
ベトナム語_pdfplumber_抽出_最終版.csv,19,6.0,開口部注意,Chú ý lỗ mở
ベトナム語_pdfplumber_抽出_最終版.csv,19,7.0,感電注意,Chú ý điện giật
ベトナム語_pdfplumber_抽出_最終版.csv,19,8.0,堕落注意,Chú ý rơi ngã
ベトナム語_pdfplumber_抽出_最終版.csv,19,9.0,頭上注意,Chú ý trên đầu
ベトナム語_pdfplumber_抽出_最終版.csv,19,10.0,警報設備,Thiết bị báo động
ベトナム語_pdfplumber_抽出_最終版.csv,20,12.0,AED設置場所,Nơi đặt máy AED
ベトナム語_pdfplumber_抽出_最終版.csv,20,13.0,保護帽着用,Đội mũ bảo hộ
ベトナム語_pdfplumber_抽出_最終版.csv,20,14.0,安全帯使用,Sử dụng dây đai an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,20,15.0,昇降階段,Cầu thang bộ
ベトナム語_pdfplumber_抽出_最終版.csv,22,15.0,昇降階段,Cầu thang bộ
ベトナム語_pdfplumber_抽出_最終版.csv,20,16.0,休憩所,Khu vực nghỉ ngơi
ベトナム語_pdfplumber_抽出_最終版.csv,20,17.0,最大積載荷重,Tải trọng tối đa
ベトナム語_pdfplumber_抽出_最終版.csv,20,18.0,喫煙所,Khu vực hút thuốc
ベトナム語_pdfplumber_抽出_最終版.csv,20,19.0,整理整頓,Sắp xếp chỉnh đốn
ベトナム語_pdfplumber_抽出_最終版.csv,20,20.0,安全通路,Lối đi an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,21,1.0,三連クランプ,Kẹp ba
ベトナム語_pdfplumber_抽出_最終版.csv,21,2.0,ベルトコンベア （ベルコン）,Băng tải (gọi tắt là Berukon)
ベトナム語_pdfplumber_抽出_最終版.csv,21,3.0,かけや,Búa
ベトナム語_pdfplumber_抽出_最終版.csv,50,4.0,かけや,Búa lớn làm bằng gỗ sồi
ベトナム語_pdfplumber_抽出_最終版.csv,21,4.0,ランマ,Máy đầm rung
ベトナム語_pdfplumber_抽出_最終版.csv,21,5.0,自在クランプ,"Kẹp xoay, khóa xoay"
ベトナム語_pdfplumber_抽出_最終版.csv,21,6.0,キャッチクランプ,"Kẹp, khóa"
ベトナム語_pdfplumber_抽出_最終版.csv,21,7.0,吊り上げ用クランプ,Kẹp nâng Renfroe
ベトナム語_pdfplumber_抽出_最終版.csv,21,8.0,直交クランプ,"Kẹp cố định, khóa cố đ ịnh"
ベトナム語_pdfplumber_抽出_最終版.csv,21,9.0,フック,Móc
ベトナム語_pdfplumber_抽出_最終版.csv,33,6.0,フック,Móc
ベトナム語_pdfplumber_抽出_最終版.csv,21,10.0,ストレートシャックル,Móc thẳng (hình chữ U)
ベトナム語_pdfplumber_抽出_最終版.csv,22,11.0,滑車,"Ròng rọc, Puli"
ベトナム語_pdfplumber_抽出_最終版.csv,22,12.0,クレーン,"Cần cẩu, cần trục"
ベトナム語_pdfplumber_抽出_最終版.csv,22,13.0,移動式クレーン,Xe cẩu tự hành
ベトナム語_pdfplumber_抽出_最終版.csv,22,14.0,介しゃくロープ,"Cáp đuôi, cáp kéo lùi"
ベトナム語_pdfplumber_抽出_最終版.csv,22,16.0,筋かい止めピン,Chốt khóa thanh giằng chéo
ベトナム語_pdfplumber_抽出_最終版.csv,22,17.0,脚柱ジョイント,Chốt liên kết
ベトナム語_pdfplumber_抽出_最終版.csv,22,18.0,連結ピン,Chốt nối
ベトナム語_pdfplumber_抽出_最終版.csv,22,19.0,ジョイント金具,Khớp kim loại để kết nối ống thép
ベトナム語_pdfplumber_抽出_最終版.csv,22,20.0,レバーブロック,"Kích xích căng dây, tă ng đơ xích"
ベトナム語_pdfplumber_抽出_最終版.csv,22,21.0,電動のこ（丸のこ）,Máy cưa đĩa
ベトナム語_pdfplumber_抽出_最終版.csv,23,22.0,モンキースパナ,Mỏ lết có điều chỉnh
ベトナム語_pdfplumber_抽出_最終版.csv,23,23.0,親綱支柱,Cột giăng dây neo
ベトナム語_pdfplumber_抽出_最終版.csv,23,24.0,ブラケット,"Dầm hẫng, công son, thanh giằng chống giữ tường"
ベトナム語_pdfplumber_抽出_最終版.csv,23,25.0,梯子,Thang
ベトナム語_pdfplumber_抽出_最終版.csv,24,1.0,親綱,Dây neo
ベトナム語_pdfplumber_抽出_最終版.csv,24,2.0,建枠（ビティ）,Giàn giáo khung (Beatty)
ベトナム語_pdfplumber_抽出_最終版.csv,24,3.0,メッシュシート,Lưới bao che
ベトナム語_pdfplumber_抽出_最終版.csv,24,4.0,防音パネル,Tấm cách âm
ベトナム語_pdfplumber_抽出_最終版.csv,24,5.0,朝顔材,"Vách nghiêng dựng tạm để ngừa đồ vật rơi, bắn ra đ ường"
ベトナム語_pdfplumber_抽出_最終版.csv,24,6.0,架空線,Đường dây điện trên cao
ベトナム語_pdfplumber_抽出_最終版.csv,24,7.0,幅木（仮設足場）,Tấm chắn chống rơi ngã (Giàn giáo tạm thời)
ベトナム語_pdfplumber_抽出_最終版.csv,24,8.0,単管,Ống thép
ベトナム語_pdfplumber_抽出_最終版.csv,24,9.0,脚立,Thang gấp
ベトナム語_pdfplumber_抽出_最終版.csv,24,10.0,作業半径,Bán kính hoạt động
ベトナム語_pdfplumber_抽出_最終版.csv,25,11.0,仮ボルト,Bu lông tạm thời
ベトナム語_pdfplumber_抽出_最終版.csv,25,12.0,手直し,Chỉnh sửa
ベトナム語_pdfplumber_抽出_最終版.csv,25,13.0,面一,Bề mặt của hai vật liệu phẳng đều nhau
ベトナム語_pdfplumber_抽出_最終版.csv,25,14.0,点検事項,Hạng mục kiểm tra
