行ID,ファイル名,言語,ページ,番号,日本語,翻訳
186,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,8.0,倒れる,Jatuh
187,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,9.0,転落（する）,Jatuh dari atas
188,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,10.0,指差呼称,Aba-aba tunjuk pencegahan bahaya
189,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,11.0,ヒヤリハット,Kondisi bahaya/Gerakan bahaya
190,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,12.0,原因,Faktor/Penyebab
191,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,13.0,対策,Penanganan
192,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,14.0,落下（する）,Jatuh
193,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,15.0,墜落（する）,Terperosok
194,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,1.0,作業着,Pakaian kerja
195,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,2.0,作業服,Baju kerja
196,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,3.0,作業靴,Sepatu kerja
197,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,4.0,手袋,Sarung tangan
198,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,5.0,帽子,Topi
199,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,6.0,保護帽（ヘルメット）,Topi pelindung(Helem)
200,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,31,7.0,保護帽（ヘルメット）,Topi pelindung (helm)
201,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,7.0,保護具,Alat pelindung
202,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,8.0,あごひも,Tali dagu
203,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,9.0,ボタン,Kancing/tombol
204,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,10.0,ポケット,Kantong
205,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,11.0,保護メガネ,Kacamata pelindung
206,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,12.0,マスク,Masker
207,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,13.0,耳栓,Penyumbat telinga
208,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,14.0,安全靴,Sepatu pengaman
209,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,15,15.0,墜落制止用器具（安全 帯）,Sistem perlindungan bahaya jatuh (Sabuk pengaman)
210,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,16.0,業務,Kerja
211,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,17.0,時間厳守,Disiplin waktu
212,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,18.0,予定,Jadwal
213,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,19.0,日付,"Tanggal, bulan dan tahun"
214,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,20.0,準備（する）,Persiapan
215,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,21.0,会議,"Rapat, pertemuan"
216,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,22.0,朝礼,Apel pagi
217,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,23.0,報告書,Surat laporan
218,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,24.0,マニュアル,Buku pedoman
219,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,25.0,作業手順書,Lembaran prosedur kerja.
220,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,16,26.0,調子,Kondisi
221,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,1.0,立入禁止,Dilarang masuk
222,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,2.0,禁煙,Dilarang merokok
223,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,4.0,駐車禁止,Dilarang parkir
224,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,5.0,足もと注意,Awas langkah kaki
225,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,6.0,開口部注意,Awas ada lubang
226,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,7.0,感電注意,Awas bahaya sengatan listrik
227,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,8.0,堕落注意,Awas jatuh terpeleset
228,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,9.0,頭上注意,Awas bagian atas kepala
229,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,10.0,警報設備,Peralatan Tanda Bahaya （Alarm）
230,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,12.0,AED設置場所,Tempat Instalasi peralatan AED
231,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,13.0,保護帽着用,Gunakan topi pelindung
232,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,14.0,安全帯使用,Gunakan Sabuk Pengaman
233,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,15.0,昇降階段,Tangga naik turun
234,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,20,15.0,昇降階段,Tangga naik turun
235,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,16.0,休憩所,Tempat istirahat
236,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,17.0,最大積載荷重,Kapasitas berat beban maksimum
237,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,18.0,喫煙所,Dilarang merokok
238,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,19.0,整理整頓,Rapikan dengan teratur
239,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,20.0,安全通路,Jalur aman
240,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,19,1.0,三連クランプ,Klam tripel.
241,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,19,2.0,ベルトコンベア （ベルコン）,Konveyor sabuk (Ban berjalan)
242,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,19,3.0,かけや,Palu kayu berat
243,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,47,4.0,かけや,Palu besar
244,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,19,4.0,ランマ,Stamper kuda
245,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,19,5.0,自在クランプ,Klam universal
