行ID,ファイル名,言語,ページ,番号,日本語,翻訳
121,英語_pdfplumber_抽出_最終版.csv,英語,11,20.0,確認（する）,Check (to check)
122,英語_pdfplumber_抽出_最終版.csv,英語,11,21.0,報告（する）,Report (to report)
123,英語_pdfplumber_抽出_最終版.csv,英語,11,22.0,連絡（する）,Communication (to communicate)
124,英語_pdfplumber_抽出_最終版.csv,英語,11,23.0,相談（する）,Consultation (to consult)
125,英語_pdfplumber_抽出_最終版.csv,英語,11,24.0,渡す,To hand over
126,英語_pdfplumber_抽出_最終版.csv,英語,11,25.0,申請書,Application
127,英語_pdfplumber_抽出_最終版.csv,英語,11,26.0,寝坊（する）,Oversleeping (to oversleep)
128,英語_pdfplumber_抽出_最終版.csv,英語,12,1.0,技能,Skills
129,英語_pdfplumber_抽出_最終版.csv,英語,12,2.0,技能検定試験,Skill proficiency test
130,英語_pdfplumber_抽出_最終版.csv,英語,12,3.0,受検（する）,Exam (Take an Exam)
131,英語_pdfplumber_抽出_最終版.csv,英語,12,4.0,資格,Qualifications
132,英語_pdfplumber_抽出_最終版.csv,英語,12,5.0,手当,Allowance
133,英語_pdfplumber_抽出_最終版.csv,英語,12,6.0,社員,Employee
134,英語_pdfplumber_抽出_最終版.csv,英語,12,7.0,部長,Department manager
135,英語_pdfplumber_抽出_最終版.csv,英語,12,8.0,課長,Section manager
136,英語_pdfplumber_抽出_最終版.csv,英語,12,9.0,更衣室,Dressing room
137,英語_pdfplumber_抽出_最終版.csv,英語,12,10.0,台車,Cart
138,英語_pdfplumber_抽出_最終版.csv,英語,12,11.0,床,Floor
139,英語_pdfplumber_抽出_最終版.csv,英語,12,12.0,出口,Exit
140,英語_pdfplumber_抽出_最終版.csv,英語,12,13.0,電気,Electricity
141,英語_pdfplumber_抽出_最終版.csv,英語,12,14.0,警報音,Alarm sound
142,英語_pdfplumber_抽出_最終版.csv,英語,12,15.0,コンセント,Electric outlet
143,英語_pdfplumber_抽出_最終版.csv,英語,12,16.0,作業場,Workshop
144,英語_pdfplumber_抽出_最終版.csv,英語,12,17.0,作業台,Workbench
145,英語_pdfplumber_抽出_最終版.csv,英語,12,18.0,工事現場,Construction site
146,英語_pdfplumber_抽出_最終版.csv,英語,12,19.0,職長,Foreman
147,英語_pdfplumber_抽出_最終版.csv,英語,12,20.0,作業責任者,Work supervisor
148,英語_pdfplumber_抽出_最終版.csv,英語,13,1.0,禁止,Prohibition
149,英語_pdfplumber_抽出_最終版.csv,英語,13,2.0,表示板,Display board
150,英語_pdfplumber_抽出_最終版.csv,英語,13,3.0,禁止事項,Prohibited items
151,英語_pdfplumber_抽出_最終版.csv,英語,13,4.0,避難訓練,Evacuation drill
152,英語_pdfplumber_抽出_最終版.csv,英語,13,5.0,感電（する）,Electric shock (Get an electric shock)
153,英語_pdfplumber_抽出_最終版.csv,英語,13,6.0,防止（する）,Prevention (Prevent)
154,英語_pdfplumber_抽出_最終版.csv,英語,13,7.0,予防（する）,Precaution (Take precautions)
155,英語_pdfplumber_抽出_最終版.csv,英語,13,8.0,転倒（する）,Falling (Fall)
156,英語_pdfplumber_抽出_最終版.csv,英語,13,9.0,挟まる,Get caught
157,英語_pdfplumber_抽出_最終版.csv,英語,13,10.0,足元,Footsteps
158,英語_pdfplumber_抽出_最終版.csv,英語,13,11.0,不安定（な）,Instability (Unstable)
159,英語_pdfplumber_抽出_最終版.csv,英語,13,12.0,後片付け,Cleanup
160,英語_pdfplumber_抽出_最終版.csv,英語,13,13.0,救急箱,First aid kit
161,英語_pdfplumber_抽出_最終版.csv,英語,13,14.0,絆創膏,Adhesive plaster
162,英語_pdfplumber_抽出_最終版.csv,英語,13,15.0,体調,Physical condition
163,英語_pdfplumber_抽出_最終版.csv,英語,13,16.0,血,Blood
164,英語_pdfplumber_抽出_最終版.csv,英語,13,17.0,熱中症,Heatstroke
165,英語_pdfplumber_抽出_最終版.csv,英語,13,18.0,吐き気,Nausea
166,英語_pdfplumber_抽出_最終版.csv,英語,13,19.0,嘔吐（する）,Vomiting (Vomit)
167,英語_pdfplumber_抽出_最終版.csv,英語,13,20.0,足がつる,Have a leg cramp
168,英語_pdfplumber_抽出_最終版.csv,英語,13,21.0,気分が悪い,Feel sick
169,英語_pdfplumber_抽出_最終版.csv,英語,13,22.0,寝不足,Lack of sleep
170,英語_pdfplumber_抽出_最終版.csv,英語,13,23.0,安全ネット,Safety net
171,英語_pdfplumber_抽出_最終版.csv,英語,13,24.0,安全点検,Safety inspection
172,英語_pdfplumber_抽出_最終版.csv,英語,14,1.0,KY活動（危険予知活動）,KY Activities (Hazard prediction activities)
173,英語_pdfplumber_抽出_最終版.csv,英語,14,2.0,危険,Hazard
174,英語_pdfplumber_抽出_最終版.csv,英語,14,3.0,ぶつかる,Bump into
175,英語_pdfplumber_抽出_最終版.csv,英語,14,4.0,当たる,Hit
176,英語_pdfplumber_抽出_最終版.csv,英語,14,5.0,下敷きになる,Become trapped under
177,英語_pdfplumber_抽出_最終版.csv,英語,14,6.0,打つ,Strike
178,英語_pdfplumber_抽出_最終版.csv,英語,14,7.0,バランスを崩す,Lost one's balance
179,英語_pdfplumber_抽出_最終版.csv,英語,14,8.0,倒れる,Collapse
180,英語_pdfplumber_抽出_最終版.csv,英語,14,9.0,転落（する）,Falling off ( Fall off)
181,英語_pdfplumber_抽出_最終版.csv,英語,14,10.0,指差呼称,Pointing and calling
182,英語_pdfplumber_抽出_最終版.csv,英語,14,11.0,ヒヤリハット,"""Hiyari-Hatto"" (Near-miss incident)"
183,英語_pdfplumber_抽出_最終版.csv,英語,14,12.0,原因,Cause
184,英語_pdfplumber_抽出_最終版.csv,英語,14,13.0,対策,Countermeasure
185,英語_pdfplumber_抽出_最終版.csv,英語,14,14.0,落下（する）,Falling (Fall)
186,英語_pdfplumber_抽出_最終版.csv,英語,14,15.0,墜落（する）,Falling down (Fall down)
187,英語_pdfplumber_抽出_最終版.csv,英語,14,16.0,確認（する）,Check (Check)
188,英語_pdfplumber_抽出_最終版.csv,英語,15,1.0,作業着,Work clothes
189,英語_pdfplumber_抽出_最終版.csv,英語,15,2.0,作業服,Work uniform
190,英語_pdfplumber_抽出_最終版.csv,英語,15,3.0,作業靴,Work shoes
191,英語_pdfplumber_抽出_最終版.csv,英語,15,4.0,手袋,Gloves
192,英語_pdfplumber_抽出_最終版.csv,英語,15,5.0,帽子,Cap
193,英語_pdfplumber_抽出_最終版.csv,英語,15,6.0,保護帽（ヘルメット）,Safety helmet (Helmet)
194,英語_pdfplumber_抽出_最終版.csv,英語,15,7.0,保護具,Protective equipment
195,英語_pdfplumber_抽出_最終版.csv,英語,15,8.0,あごひも,Chin strap
196,英語_pdfplumber_抽出_最終版.csv,英語,15,9.0,ボタン,Button
197,英語_pdfplumber_抽出_最終版.csv,英語,15,10.0,ポケット,Pocket
198,英語_pdfplumber_抽出_最終版.csv,英語,15,11.0,保護メガネ,Safety glasses
199,英語_pdfplumber_抽出_最終版.csv,英語,15,12.0,マスク,Mask
200,英語_pdfplumber_抽出_最終版.csv,英語,15,13.0,耳栓,Earplugs
201,英語_pdfplumber_抽出_最終版.csv,英語,15,14.0,安全靴,Safety shoes
202,英語_pdfplumber_抽出_最終版.csv,英語,15,15.0,墜落制止用器具（安全 帯）,Fall protection equipment (Safety belt)
203,英語_pdfplumber_抽出_最終版.csv,英語,16,16.0,業務,Work
